CustomerID,Name,Age,Gender,Region,SignupDate
CUST1000,Brittany Lawrence,57,Male,North,2023-06-24
CUST1001,Cameron Garcia,19,Male,East,2023-04-08
CUST1002,Matthew Estrada,25,Female,South,2024-01-26
CUST1003,Kathy Brown,45,Male,East,2024-03-24
CUST1004,Mark Barron,26,Female,East,2022-07-12
CUST1005,Whitney Strickland,45,Male,East,2024-05-08
CUST1006,Peter Sanders,23,Male,North,2022-07-28
CUST1007,Michael Austin,58,Male,South,2024-02-27
CUST1008,Rachel Gonzalez,44,Male,East,2023-12-14
CUST1009,Diane Smith,42,Female,North,2024-09-13
CUST1010,Robert Montgomery,41,Female,South,2022-12-23
CUST1011,Yvonne Snyder,28,Female,East,2023-11-17
CUST1012,Alicia Richardson,55,Female,South,2024-06-10
CUST1013,Kyle Lewis,28,Male,East,2024-03-13
CUST1014,Rhonda Wright,54,Male,North,2024-07-28
CUST1015,Joshua Rocha,56,Female,North,2025-01-12
CUST1016,Amanda Jordan,28,Male,North,2022-07-16
CUST1017,Colin Jones,26,Male,West,2024-10-05
CUST1018,Jacqueline Caldwell,42,Male,South,2025-03-31
CUST1019,Rhonda Bowers,64,Female,South,2023-03-04
CUST1020,David Martinez,46,Female,East,2025-03-27
CUST1021,Edwin Delgado,39,Female,North,2024-10-11
CUST1022,Jacob Sparks,64,Male,North,2022-09-25
CUST1023,Annette Gonzalez,58,Male,West,2023-03-07
CUST1024,Kaylee Wright,34,Female,West,2022-09-18
CUST1025,Elizabeth Bond,32,Female,North,2023-11-11
CUST1026,Justin Hall,28,Male,North,2024-05-02
CUST1027,Ian Gross,64,Male,East,2024-07-03
CUST1028,Trevor Stanley,33,Female,East,2023-12-27
CUST1029,Nicholas Hernandez,48,Female,West,2024-05-23
CUST1030,Lee Thomas,24,Male,East,2023-08-19
CUST1031,Andrew Green,35,Female,East,2023-05-14
CUST1032,Elizabeth Lucero,60,Female,East,2024-03-12
CUST1033,Laura Mclaughlin DDS,59,Male,East,2025-05-18
CUST1034,Stephen Cooper,25,Male,East,2025-06-28
CUST1035,Rachel Waters,35,Male,North,2023-01-18
CUST1036,Scott Wilkins,26,Male,East,2023-04-28
CUST1037,Robyn Baker,59,Female,South,2023-04-10
CUST1038,Thomas Powell,62,Male,East,2023-06-16
CUST1039,Phillip Burton,45,Male,North,2024-11-16
CUST1040,Rhonda Grimes,24,Female,North,2023-10-18
CUST1041,Sheila Trujillo,24,Male,West,2024-04-03
CUST1042,Heather Mercado,35,Male,West,2023-09-20
CUST1043,Jacqueline Gonzalez,44,Male,South,2024-01-07
CUST1044,Veronica Stewart,64,Male,West,2023-09-28
CUST1045,Daniel Hammond,40,Male,East,2025-02-26
CUST1046,Damon Baker,59,Female,North,2024-03-11
CUST1047,Ryan Reid,28,Male,East,2022-11-03
CUST1048,Joseph Johnson,63,Male,East,2024-08-12
CUST1049,Jill Anderson,39,Male,West,2022-08-28
CUST1050,Peggy Stone,24,Female,North,2025-05-01
CUST1051,Tyler Lewis,20,Male,East,2022-09-01
CUST1052,Jennifer Green,62,Female,West,2023-11-25
CUST1053,Jessica Howard,40,Female,North,2023-09-06
CUST1054,John Lowe,27,Female,East,2025-04-14
CUST1055,Karen Johnson,37,Female,North,2025-03-27
CUST1056,Christopher Velasquez,44,Female,North,2023-03-21
CUST1057,Paul Acevedo,39,Female,South,2023-05-11
CUST1058,Marie Webster,31,Male,South,2024-09-21
CUST1059,Natasha Church,41,Female,East,2023-04-25
CUST1060,Jessica Price,27,Male,South,2022-10-21
CUST1061,Albert Allen,45,Male,North,2022-11-04
CUST1062,Jon Nelson,18,Female,West,2024-06-18
CUST1063,Jennifer Barnes,27,Female,East,2024-10-28
CUST1064,Tracy Lewis,61,Male,North,2024-06-21
CUST1065,Vincent Gray,53,Male,West,2025-02-27
CUST1066,Jade Mckenzie,28,Male,East,2022-07-26
CUST1067,Beth Torres,54,Female,North,2024-02-23
CUST1068,Carolyn Duran,22,Female,North,2022-11-15
CUST1069,Gerald Green,57,Male,South,2023-06-26
CUST1070,Michael Webster,60,Male,West,2024-08-05
CUST1071,Donald Dawson,21,Female,East,2023-09-12
CUST1072,Shannon Klein,53,Female,East,2022-07-19
CUST1073,Ronald Hurst,39,Female,West,2023-08-05
CUST1074,Joann Mckenzie,23,Male,South,2022-09-07
CUST1075,Alan Rivera,37,Male,North,2023-12-03
CUST1076,Dana Reynolds,54,Female,North,2024-06-20
CUST1077,Sonya Bailey,20,Male,West,2022-07-24
CUST1078,Margaret Osborne,26,Male,North,2023-05-23
CUST1079,Robert Duncan,22,Male,South,2023-07-19
CUST1080,Brian Dickson,34,Female,North,2024-04-19
CUST1081,Tracey Hampton,59,Female,North,2022-08-31
CUST1082,Kelly Hamilton,19,Female,East,2023-05-25
CUST1083,Samuel Lee,63,Female,East,2023-08-04
CUST1084,Terry Pierce,47,Female,West,2025-06-26
CUST1085,Terri Weber,48,Female,East,2024-09-22
CUST1086,Derek Hoover,25,Female,North,2023-08-09
CUST1087,Peter Hart,33,Male,East,2024-05-01
CUST1088,Todd Joseph,44,Male,North,2023-07-10
CUST1089,Brian Adkins,43,Male,South,2024-08-31
CUST1090,Dennis Cuevas,58,Female,East,2024-08-08
CUST1091,Phillip Leon,44,Male,East,2025-02-07
CUST1092,Daniel Riddle,31,Female,South,2024-07-06
CUST1093,Andrew Watson,31,Female,East,2022-11-18
CUST1094,Paige Bailey,31,Female,South,2025-03-24
CUST1095,Sheila Guerrero,26,Male,East,2024-08-01
CUST1096,Joseph Hunter,49,Female,South,2024-03-25
CUST1097,Kristin Johnson,45,Male,West,2022-12-14
CUST1098,Kenneth Clark,58,Male,East,2024-10-11
CUST1099,Ashley Carter,42,Male,West,2023-06-16
CUST1100,Wendy Hall,48,Female,North,2024-04-23
CUST1101,Emily Hahn,20,Male,West,2022-10-24
CUST1102,Melinda Gonzalez,26,Female,North,2022-08-06
CUST1103,Jennifer Conley,64,Male,East,2023-07-21
CUST1104,Mario Randall,22,Male,North,2024-06-23
CUST1105,Elizabeth Kirby,39,Female,East,2022-08-16
CUST1106,Krystal Gutierrez,57,Female,East,2024-09-06
CUST1107,Patricia Boyer,46,Female,North,2024-12-04
CUST1108,Scott Gibson,20,Female,East,2023-07-22
CUST1109,William Sanchez,40,Male,North,2025-02-04
CUST1110,Rebekah Christensen,53,Female,West,2023-01-31
CUST1111,Keith Ritter,33,Female,North,2024-05-15
CUST1112,Stacie Campbell,54,Female,North,2023-06-12
CUST1113,Richard Flowers,60,Male,West,2024-06-15
CUST1114,Shannon Clayton,44,Male,South,2023-04-30
CUST1115,Stacey Stephens,46,Female,East,2024-09-15
CUST1116,Leslie Jones,22,Male,North,2024-01-16
CUST1117,Christopher Lucero,25,Female,East,2025-03-01
CUST1118,Shawn Morrison,53,Female,South,2024-06-11
CUST1119,Robert Guerrero,39,Female,West,2022-11-19
CUST1120,Heather Walters,27,Male,West,2023-07-29
CUST1121,Lucas Castro,46,Male,South,2024-07-02
CUST1122,Kristi Hancock,62,Female,West,2022-10-11
CUST1123,Daniel Gonzales,19,Male,East,2023-01-12
CUST1124,Ms. Jessica Arnold,43,Male,West,2025-03-18
CUST1125,Kristopher Garza,47,Male,East,2024-04-06
CUST1126,Brandon Tran,64,Female,South,2023-05-06
CUST1127,Meghan Lang,19,Female,East,2023-04-13
CUST1128,Tyler Chapman,28,Female,South,2025-06-02
CUST1129,Christopher Scott,57,Male,East,2023-09-04
CUST1130,Robert Smith,60,Female,South,2023-02-22
CUST1131,Katherine Mason,25,Female,North,2023-07-25
CUST1132,Kimberly Romero,57,Male,South,2025-06-04
CUST1133,Amanda Garza,35,Male,West,2023-03-01
CUST1134,Brandon Lynn,33,Male,East,2023-05-06
CUST1135,Linda Pollard,33,Female,South,2025-02-27
CUST1136,Ashley Hill,57,Male,West,2023-07-26
CUST1137,Lynn Holloway,37,Female,West,2022-08-24
CUST1138,Mrs. Laurie Nelson,41,Male,South,2025-01-13
CUST1139,Ashley Williams,50,Male,North,2022-10-13
CUST1140,Hannah Spencer,45,Male,North,2025-03-31
CUST1141,Jean Griffin,57,Male,West,2024-02-12
CUST1142,Stephen Beck,19,Female,West,2023-07-26
CUST1143,Heather Keller,38,Female,East,2023-04-07
CUST1144,Miss Heather Gonzales DDS,51,Female,South,2023-02-10
CUST1145,Darrell Lynn,25,Male,East,2024-10-06
CUST1146,Jose Mccormick,25,Male,South,2024-04-24
CUST1147,Angelica Juarez,24,Female,North,2024-08-02
CUST1148,Andrew Davis,55,Male,South,2024-07-25
CUST1149,Danielle Smith,60,Male,North,2024-02-26
CUST1150,Russell Cox,28,Female,South,2024-05-27
CUST1151,Antonio Combs,42,Female,West,2024-12-15
CUST1152,Jonathan Green,57,Female,North,2022-10-23
CUST1153,Mary Anderson,54,Male,North,2024-06-18
CUST1154,Gabrielle Hall,40,Male,South,2025-03-28
CUST1155,Amy Nguyen,58,Female,South,2024-09-28
CUST1156,James Strickland,37,Female,West,2024-11-20
CUST1157,Zachary Reyes,18,Female,West,2023-06-19
CUST1158,Joseph Tucker,64,Male,East,2025-03-22
CUST1159,Ronald Smith,31,Male,North,2022-08-29
CUST1160,Dana Carroll,57,Female,East,2023-12-24
CUST1161,Elizabeth Yates,30,Female,North,2024-03-25
CUST1162,Sarah Gallegos,38,Female,East,2025-05-07
CUST1163,Virginia Osborn,29,Female,West,2024-02-05
CUST1164,David Leach,61,Male,North,2023-07-03
CUST1165,Randy Williams,22,Male,South,2023-05-25
CUST1166,Bailey Schmidt,62,Male,West,2024-02-16
CUST1167,Michael Gallegos,33,Female,West,2025-01-19
CUST1168,Theresa Thomas,37,Female,South,2025-03-18
CUST1169,Margaret Park,59,Male,North,2023-07-08
CUST1170,William Morgan,28,Female,West,2025-01-03
CUST1171,Tammy Newman,32,Female,West,2024-03-21
CUST1172,Jerry Key,56,Female,South,2024-02-21
CUST1173,Kaitlyn Huffman,58,Male,East,2024-06-10
CUST1174,Darrell Carpenter,42,Male,South,2023-09-30
CUST1175,Mary Stephens,55,Female,North,2023-07-04
CUST1176,Taylor Mcgee,40,Male,East,2022-08-25
CUST1177,Laura Sullivan,21,Female,South,2023-02-27
CUST1178,Rachel Gay,37,Male,West,2022-12-01
CUST1179,Joshua Thomas DVM,25,Male,South,2023-06-22
CUST1180,Angelica Snyder,61,Male,South,2025-06-26
CUST1181,Frank Chen,26,Female,East,2024-09-21
CUST1182,William Marsh,49,Female,South,2024-03-08
CUST1183,Richard Morales,44,Male,East,2023-02-16
CUST1184,Amy Jackson,53,Female,West,2023-07-08
CUST1185,Jennifer Cunningham,40,Male,North,2025-05-24
CUST1186,Cory Logan,28,Male,South,2022-09-23
